# SetNumber = 1
# AZ [deg], AZ_scanoffset [arcsec], power [dBm], T_B [K]
257.489965,-2179.459459,-19.233000,17.619057
257.551708,-1965.405405,-19.133000,18.486136
257.613451,-1751.351351,-19.033000,19.353216
257.675193,-1537.297297,-19.000000,19.639352
257.736935,-1323.243243,-17.740000,30.564555
257.798677,-1109.189189,-15.500000,49.987137
257.860417,-895.135135,-9.550000,101.578371
257.922158,-681.081081,-9.554000,101.543687
257.983897,-467.027027,-9.533000,101.725774
258.045637,-252.972973,-9.498000,102.029252
258.107376,-38.918919,-9.500000,102.011910
258.169114,175.135135,-9.502000,101.994569
258.230852,389.189189,-14.000000,62.993330
258.292589,603.243243,-17.000000,36.980943
258.354326,817.297297,-18.300000,25.708909
258.416063,1031.351351,-19.000000,19.639352
258.477799,1245.405405,-19.700000,13.569795
258.539534,1459.459459,-20.053000,10.509004
258.601270,1673.513514,-20.067000,10.387613
258.663004,1887.567568,-20.053000,10.509004
258.724738,2101.621622,-20.043200,10.593978
258.786472,2315.675676,-20.043200,10.593978
258.848205,2529.729730,-20.043200,10.593978
258.909938,2743.783784,-20.076740,10.303160
258.971670,2957.837838,-20.063000,10.422296
259.033402,3171.891892,-20.063000,10.422296
259.095133,3385.945946,-20.063000,10.422296
259.156864,3600.000000,-20.063000,10.422296
259.156864,3600.000000,-20.063000,10.422296
259.157694,3600.000000,-20.063000,10.422296
259.158525,3600.000000,-20.063000,10.422296
259.159355,3600.000000,-20.063000,10.422296
259.160186,3600.000000,-20.464000,6.945307
259.161016,3600.000000,-20.865000,3.468318
# EL [deg], EL_scanoffset [arcsec], power [dBm], T_B [K]
11.578596,-4320.000000,-20.030000,10.708433
11.577545,-4320.000000,-20.033000,10.682420
11.576496,-4320.000000,-20.240000,8.887566
11.575445,-4320.000000,-20.110000,10.014769
11.574395,-4320.000000,-20.040000,10.621725
11.572907,-4320.000000,-20.580000,5.939495
11.630947,-4105.945946,-20.001000,10.959886
11.688992,-3891.891892,-19.998000,10.985898
11.747040,-3677.837838,-19.680000,13.743211
11.805093,-3463.783784,-19.650000,14.003335
11.863148,-3249.729730,-19.550000,14.870414
11.921208,-3035.675676,-19.533000,15.017818
11.979271,-2821.621622,-19.455000,15.694140
12.037338,-2607.567568,-19.433000,15.884898
12.095408,-2393.513514,-19.333000,16.751977
12.153482,-2179.459459,-19.233000,17.619057
12.211560,-1965.405405,-19.133000,18.486136
12.269640,-1751.351351,-19.033000,19.353216
12.327724,-1537.297297,-18.000000,28.310148
12.385812,-1323.243243,-17.000000,36.980943
12.443903,-1109.189189,-13.000000,71.664126
12.501997,-895.135135,-10.040000,97.329681
12.560094,-681.081081,-10.020000,97.503097
12.618194,-467.027027,-10.024000,97.468414
12.676298,-252.972973,-10.011000,97.581134
12.734404,-38.918919,-10.329000,94.823821
12.792514,175.135135,-10.647000,92.066508
12.850626,389.189189,-14.000000,62.993330
12.908742,603.243243,-17.000000,36.980943
12.966860,817.297297,-18.300000,25.708909
13.024982,1031.351351,-19.000000,19.639352
13.083106,1245.405405,-20.400000,7.500238
13.141233,1459.459459,-20.053000,10.509004
13.199363,1673.513514,-20.067000,10.387613
13.257495,1887.567568,-20.053000,10.509004
13.315631,2101.621622,-20.043200,10.593978
13.373769,2315.675676,-20.043200,10.593978
13.431909,2529.729730,-20.043200,10.593978
13.490053,2743.783784,-20.076740,10.303160
13.548199,2957.837838,-20.063000,10.422296
13.606347,3171.891892,-20.063000,10.422296
13.664498,3385.945946,-20.063000,10.422296
13.722652,3600.000000,-20.063000,10.422296
13.722652,3600.000000,-20.063000,10.422296
13.721602,3600.000000,-20.063000,10.422296
13.720552,3600.000000,-20.063000,10.422296
13.719502,3600.000000,-20.063000,10.422296
13.718452,3600.000000,-20.063000,10.422296
13.717403,3600.000000,-20.063000,10.422296
# SetNumber = 3
# AZ [deg], AZ_scanoffset [arcsec], power [dBm], T_B [K]
257.001635,-4320.000000,-20.030000,4.763628
257.002476,-4320.000000,-20.033000,4.730662
257.003317,-4320.000000,-20.240000,2.455988
257.004158,-4320.000000,-20.110000,3.884527
257.004998,-4320.000000,-20.040000,4.653741
257.006299,-4320.000000,-20.580000,-1.280191
257.068005,-4105.945946,-20.001000,5.082303
257.129712,-3891.891892,-19.998000,5.115269
257.191417,-3677.837838,-19.680000,8.609695
257.253123,-3463.783784,-19.650000,8.939358
257.314828,-3249.729730,-19.550000,10.038234
257.376532,-3035.675676,-19.533000,10.225043
257.438236,-2821.621622,-19.455000,11.082167
257.499939,-2607.567568,-19.433000,11.323919
257.561642,-2393.513514,-19.333000,12.422796
257.623345,-2179.459459,-19.233000,13.521672
257.685047,-1965.405405,-19.133000,14.620548
257.746748,-1751.351351,-19.122000,14.741424
257.808449,-1537.297297,-18.000000,27.070816
257.870149,-1323.243243,-17.000000,38.059578
257.931849,-1109.189189,-13.000000,82.014627
257.993549,-895.135135,-10.040000,114.541363
258.055248,-681.081081,-10.020000,114.761138
258.116947,-467.027027,-10.024000,114.717183
258.178645,-252.972973,-10.011000,114.860037
258.240342,-38.918919,-10.329000,111.365610
258.302039,175.135135,-10.647000,107.871184
258.363736,389.189189,-14.000000,71.025864
258.425432,603.243243,-17.000000,38.059578
258.487128,817.297297,-18.300000,23.774187
258.548823,1031.351351,-19.000000,16.082053
258.610518,1245.405405,-20.400000,0.697786
258.672212,1459.459459,-20.053000,4.510887
258.733906,1673.513514,-20.067000,4.357044
258.795599,1887.567568,-20.053000,4.510887
258.857292,2101.621622,-20.043200,4.618577
258.918985,2315.675676,-20.043200,4.618577
258.980677,2529.729730,-20.043200,4.618577
259.042368,2743.783784,-20.076740,4.250014
259.104059,2957.837838,-20.063000,4.400999
259.165750,3171.891892,-20.063000,4.400999
259.227440,3385.945946,-20.063000,4.400999
259.289130,3600.000000,-20.063000,4.400999
259.289130,3600.000000,-20.063000,4.400999
259.289959,3600.000000,-20.063000,4.400999
259.290788,3600.000000,-20.063000,4.400999
259.291618,3600.000000,-20.063000,4.400999
259.292447,3600.000000,-20.384000,0.873607
259.293276,3600.000000,-20.000000,5.093291
# EL [deg], EL_scanoffset [arcsec], power [dBm], T_B [K]
11.411615,-4320.000000,-19.998000,5.115269
11.410564,-4320.000000,-20.563000,-1.093382
11.409514,-4320.000000,-20.498000,-0.379112
11.408464,-4320.000000,-20.466000,-0.027472
11.407413,-4320.000000,-20.468000,-0.049449
11.405924,-4320.000000,-20.572000,-1.192281
11.463953,-4105.945946,-20.589000,-1.379090
11.521985,-3891.891892,-20.042000,4.631763
11.580022,-3677.837838,-20.043000,4.620774
11.638063,-3463.783784,-20.003000,5.060325
11.696107,-3249.729730,-20.040000,4.653741
11.754156,-3035.675676,-19.530000,10.258009
11.812208,-2821.621622,-19.440000,11.246998
11.870264,-2607.567568,-19.300000,12.785425
11.928323,-2393.513514,-19.352000,12.214009
11.986387,-2179.459459,-19.321000,12.554661
12.044453,-1965.405405,-18.002100,27.047739
12.102524,-1751.351351,-17.050000,37.510140
12.160597,-1537.297297,-14.000000,71.025864
12.218675,-1323.243243,-11.000000,103.992151
12.276755,-1109.189189,-10.040000,114.541363
12.334839,-895.135135,-10.020000,114.761138
12.392927,-681.081081,-10.024000,114.717183
12.451017,-467.027027,-10.011000,114.860037
12.509111,-252.972973,-10.329000,111.365610
12.567208,-38.918919,-10.647000,107.871184
12.625309,175.135135,-14.000000,71.025864
12.683412,389.189189,-17.000000,38.059578
12.741518,603.243243,-18.430000,22.345648
12.799628,817.297297,-19.002000,16.060076
12.857740,1031.351351,-20.041000,4.642752
12.915856,1245.405405,-20.076740,4.250014
12.973974,1459.459459,-20.063000,4.400999
13.032095,1673.513514,-20.063000,4.400999
13.090219,1887.567568,-20.063000,4.400999
13.148346,2101.621622,-20.063000,4.400999
13.206476,2315.675676,-20.063000,4.400999
13.264608,2529.729730,-20.063000,4.400999
13.322744,2743.783784,-20.063000,4.400999
13.380882,2957.837838,-20.063000,4.400999
13.439022,3171.891892,-20.181250,3.101578
13.497165,3385.945946,-20.194567,2.955244
13.555311,3600.000000,-20.207883,2.808911
13.555311,3600.000000,-20.221200,2.662577
13.554261,3600.000000,-20.234517,2.516243
13.553211,3600.000000,-20.247833,2.369910
13.552160,3600.000000,-20.261150,2.223576
13.551110,3600.000000,-20.274467,2.077242
